Movie Name,Genre,Release Date,Rating,Tomatometer Score,Where to Watch
Venom: The Last Dance,Action,2024-10-25,PG-13,41,Fandango at Home
Red One,Action,2024-11-15,PG-13,31,Fandango at Home
Interstellar,Action,2014-11-07,PG-13,73,Paramount Plus
Gladiator,Action,2000-05-05,R,87,"Disney Plus, Hulu, Paramount Plus"
Deadpool & Wolverine,Action,2024-07-26,R,78,Disney Plus
Hit Man,Action,2024-05-24,R,95,Netflix
Rebel Ridge,Action,2024-09-06,R,96,Netflix
Twisters,Action,2024-07-19,PG-13,75,Peacock
The Fall Guy,Action,2024-05-03,PG-13,82,Peacock
The Best Christmas Pageant Ever,Comedy,2024-11-08,PG,91,Fandango at Home
Fly Me to the Moon,Comedy,2024-07-12,PG-13,65,Apple TV Plus
Our Little Secret,Comedy,2024-11-27,PG-13,38,Netflix
Beetlejuice Beetlejuice,Comedy,2024-09-06,PG-13,76,Max
The Holdovers,Comedy,2024-11-10,R,97,Fandango at Home
Spirited,Comedy,2022-11-11,PG-13,70,Apple TV Plus
A Different Man,Comedy,2024-09-20,R,92,Fandango at Home
Love Actually,Comedy,2003-11-14,R,64,Fandango at Home
Saturday Night,Comedy,2024-10-11,R,79,Fandango at Home
Thelma,Comedy,2024-06-21,PG-13,98,"Disney Plus, Hulu"
Maria,Drama,2024-12-11,R,74,Netflix
Juror #2,Drama,2024-11-01,PG-13,93,Fandango at Home
Joy,Drama,2024-11-22,PG-13,90,Netflix
Emilia Pérez,Drama,2024-11-01,R,76,Netflix
It Ends With Us,Drama,2024-08-09,PG-13,55,Netflix
Blitz,Drama,2024-11-01,PG-13,81,Apple TV Plus
We Live in Time,Drama,2024-10-18,R,78,Fandango at Home
The Piano Lesson,Drama,2024-08-31,PG-13,88,Netflix
Midway,Drama,2019-11-08,PG-13,42,Netflix
Challengers,Drama,2024-04-26,R,88,Fandango at Home
Conclave,Mystery/Thriller,2024-10-25,PG,93,Peacock
Woman of the Hour,Mystery/Thriller,2024-10-11,R,91,Netflix
Heretic,Mystery/Thriller,2024-11-08,R,91,Fandango at Home
Blink Twice,Mystery/Thriller,2024-08-23,R,75,Fandango at Home
Trap,Mystery/Thriller,2024-08-02,PG-13,57,Max
Strange Darling,Mystery/Thriller,2024-08-23,R,95,Fandango at Home
Leave the World Behind,Mystery/Thriller,2023-11-22,R,74,Netflix
Monkey Man,Mystery/Thriller,2024-04-05,R,89,Fandango at Home
The Killer,Mystery/Thriller,2023-10-23,R,85,Netflix
Absolution,Mystery/Thriller,2024-11-01,R,53,Fandango at Home
Smile 2,Horror,2024-10-18,R,86,Paramount Plus
Speak No Evil,Horror,2024-09-13,R,83,Peacock
Terrifier 3,Horror,2024-10-11,R,77,Fandango at Home
Longlegs,Horror,2024-07-12,R,86,Fandango at Home
Don't Move,Horror,2024-10-24,R,72,Netflix
Oddity,Horror,2024-07-19,R,96,Fandango at Home
Ready or Not,Horror,2019-08-19,R,89,"Disney Plus, Hulu"
Abigail,Horror,2024-04-19,R,83,Fandango at Home
28 Weeks Later,Horror,2007-05-11,R,72,Hulu
The Substance,Horror,2024-09-20,R,90,Fandango at Home